event_number,start_time,end_time,duration_hours,max_customers_out,total_customers_out,num_outages,num_restores,customer_hours,counties_affected,max_sknt,min_sknt,avg_sknt,max_gust,min_gust,avg_gust,max_tmpf,min_tmpf,avg_tmpf,total_p01i,max_p01i,avg_p01i
389,2015-03-25 22:30:00,2015-03-26 01:00:00,2.5,5112,5583,4,7,11584.25,Los Angeles,15.0,0.0,8.642045,23.0,0.0,2.971591,88.0,67.0,77.568184,0.0,0.0,0.0
391,2015-03-27 20:00:00,2015-03-27 20:30:00,0.5,3884,3884,1,2,1940.0,Los Angeles,12.0,0.0,5.875,18.0,0.0,1.125,91.4,69.0,83.59583,0.0,0.0,0.0
393,2015-03-28 15:45:00,2015-03-28 19:45:00,4.0,8123,8322,6,4,30349.0,Los Angeles,14.0,0.0,4.8161764,18.0,0.0,1.2132353,89.6,59.0,72.931625,0.0,0.0,0.0
395,2015-03-29 05:45:00,2015-03-29 06:00:00,0.25,5152,5152,1,1,1288.0,Los Angeles,12.0,0.0,4.3125,0.0,0.0,0.0,75.2,59.0,63.862503,0.0,0.0,0.0
397,2015-03-29 16:15:00,2015-03-29 17:15:00,1.0,4389,4506,2,3,4073.25,Los Angeles,11.66,0.0,3.529,0.0,0.0,0.0,71.6,55.4,65.347496,0.0,0.0,0.0
399,2015-03-30 17:45:00,2015-03-30 18:00:00,0.25,4322,4322,1,1,1080.5,Los Angeles,7.0,0.0,3.09375,0.0,0.0,0.0,82.4,62.0,70.75625,0.0,0.0,0.0
401,2015-03-31 20:45:00,2015-03-31 21:00:00,0.25,5947,5947,1,1,1486.75,Los Angeles,28.0,3.0,11.125,37.0,0.0,5.125,79.0,61.0,69.4875,0.0,0.0,0.0
403,2015-04-01 17:00:00,2015-04-01 17:30:00,0.5,4762,4762,2,1,2224.5,Los Angeles,26.0,0.0,7.3958335,31.0,0.0,2.6458333,71.0,47.0,63.504166,0.0,0.0,0.0
405,2015-04-06 16:30:00,2015-04-06 19:45:00,3.25,5062,5728,6,8,14719.25,Los Angeles,18.0,0.0,9.191964,25.0,0.0,5.977679,66.2,43.0,59.318752,0.0,0.0,0.0
407,2015-04-06 20:30:00,2015-04-06 20:45:00,0.25,3816,3816,1,1,954.0,Los Angeles,16.0,3.0,10.3125,27.0,0.0,9.0625,68.0,55.0,62.175003,0.0,0.0,0.0
